platform,dataset,device,classes,batches,train_img_per_s,train_final_loss,infer_img_per_s,infer_e2e_img_per_s,top1,top5,majority_baseline
gpu,cifar10-full,AMD Radeon RX 6650 XT,10,1000,87.4,0.9682,254.4,253.7,0.4982,0.9395,0.1000
cpu,cifar10-full,CPU,10,20,6.5,2.1326,20.2,20.2,0.1750,0.5437,0.1000
