t_s,sclk_mhz,sclk_max_mhz,busy_pct,power_w,power_cap_w,temp_c,reasons
75.74,1935,2100,100,188.51,200.00,63,
76.29,1950,2100,100,191.54,200.00,63,
76.85,1950,2100,100,190.59,200.00,63,
77.40,1935,2100,100,189.48,200.00,63,
77.95,1935,2100,100,188.51,200.00,62,
78.50,1950,2100,100,191.47,200.00,63,
79.06,1950,2100,100,190.72,200.00,63,
79.61,1935,2100,100,189.49,200.00,63,
80.17,1935,2100,100,189.46,200.00,63,
80.72,1935,2100,100,189.01,200.00,63,
81.28,1950,2100,100,191.59,200.00,63,
81.83,1935,2100,100,190.82,200.00,63,
82.38,1935,2100,100,189.34,200.00,63,
82.94,1935,2100,100,188.96,200.00,63,
83.50,1950,2100,100,191.81,200.00,63,
84.05,1935,2100,100,191.07,200.00,63,
84.63,1935,2100,100,189.26,200.00,63,
85.19,1935,2100,100,188.97,200.00,63,
85.74,1935,2100,100,188.58,200.00,63,
86.31,1950,2100,100,191.55,200.00,63,
86.87,1935,2100,100,191.49,200.00,63,
87.42,1935,2100,100,188.99,200.00,63,
87.98,1935,2100,100,188.69,200.00,63,
88.51,1950,2100,100,190.96,200.00,63,
89.07,1935,2100,100,191.02,200.00,63,
89.62,1935,2100,100,189.63,200.00,63,
90.18,1935,2100,100,189.58,200.00,63,
90.73,1935,2100,100,189.02,200.00,63,
91.31,1950,2100,100,191.18,200.00,63,
91.86,1935,2100,100,190.78,200.00,63,
92.41,1935,2100,100,189.54,200.00,63,
92.96,1935,2100,100,189.35,200.00,63,
93.52,1950,2100,100,191.23,200.00,63,
94.07,1950,2100,100,190.95,200.00,63,
94.63,1935,2100,100,189.45,200.00,64,
95.19,1935,2100,100,189.50,200.00,63,
95.74,1935,2100,100,189.36,200.00,63,
96.31,1950,2100,100,191.55,200.00,63,
96.86,1950,2100,100,191.43,200.00,64,
97.40,1935,2100,100,189.40,200.00,63,
97.95,1935,2100,100,189.16,200.00,63,
98.51,1950,2100,100,191.34,200.00,63,
99.07,1950,2100,100,191.85,200.00,63,
99.62,1935,2100,100,189.70,200.00,64,
100.17,1935,2100,100,189.54,200.00,63,
100.73,1935,2100,100,189.23,200.00,63,
101.30,1950,2100,100,190.94,200.00,63,
101.85,1950,2100,99,191.52,200.00,63,
102.42,1935,2100,100,189.77,200.00,64,
102.97,1935,2100,100,189.27,200.00,63,
103.53,1950,2100,100,190.83,200.00,63,
104.08,1950,2100,100,191.46,200.00,63,
104.64,1935,2100,100,189.21,200.00,64,
105.19,1935,2100,100,189.65,200.00,64,
105.75,1935,2100,100,189.57,200.00,63,
106.32,1950,2100,100,190.96,200.00,63,
106.90,1950,2100,100,191.81,200.00,64,
107.43,1935,2100,100,189.62,200.00,64,
107.99,1935,2100,100,189.74,200.00,63,
108.55,1950,2100,100,191.10,200.00,63,
109.10,1950,2100,100,191.93,200.00,64,
109.66,1935,2100,100,189.19,200.00,64,
110.21,1935,2100,100,189.56,200.00,64,
110.77,1935,2100,100,189.56,200.00,64,
111.32,1950,2100,100,190.93,200.00,63,
111.90,1950,2100,100,192.57,200.00,63,
112.45,1935,2100,100,189.70,200.00,64,
